day,start_time,end_time,location,title,hosted_by,category,description
friday,02:45:00 PM,04:45:00 PM,Jalisco B: Workshop Corner,Personajes mágicos con acuarelas,,,
friday,05:00:00 PM,06:00:00 PM,Jalisco B: Workshop Corner,Entre colas y cámaras: Taller de fotografía creativa,,,
friday,06:15:00 PM,07:15:00 PM,Jalisco B: Workshop Corner,Arma tú PC GAMER,,,
friday,07:30:00 PM,08:30:00 PM,Jalisco B: Workshop Corner,Cómo acampar y no morir en el intento,,,
friday,09:00:00 PM,10:00:00 PM,Jalisco B: Workshop Corner,Melones y bananas,,,
friday,10:00:00 AM,11:45:00 AM,Jalisco B: Meeting room,Floor Wars (Eliminatoria),"Furry Trash, Confuror",,
friday,12:00:00 PM,02:00:00 PM,Jalisco B: Meeting room,Concurso de baile en fursuit (eliminatoria),"Astral, Confuror",,
friday,02:15:00 PM,03:45:00 PM,Jalisco B: Meeting room,Awoo!! TF Meet & Greet: Nuestras historias y comunidad,,,
friday,04:00:00 PM,05:30:00 PM,Jalisco B: Meeting room,Confuloid,,,
friday,05:45:00 PM,07:00:00 PM,Jalisco B: Meeting room,¡El gran canta con nostros/trivia Disney!,,,
friday,07:30:00 PM,08:30:00 PM,Jalisco B: Meeting room,"Un hotdog, ¿es un sándwich?",,,
friday,08:45:00 PM,09:45:00 PM,Jalisco B: Meeting room,¿Tienes ideas y proyectos? Networking: Conectando mentes con talentos,,,
saturday,08:00:00 AM,10:00:00 PM,Pasillo Jalisco A-B: Recepción,Registro,,,
saturday,10:00:00 AM,11:00:00 AM,Jalisco B: Main Stage,Cómo puedo ayudar a la naturaleza desde casa,,,
saturday,11:15:00 AM,12:15:00 PM,Jalisco B: Main Stage,¡Conociendo a takemoto!,,,
saturday,12:30:00 PM,01:30:00 PM,Jalisco B: Main Stage,Retos y riesgos del trabajo con fauna silvestre en México,Proyecto Tamandua (Organización de caridad),,
saturday,01:45:00 PM,02:45:00 PM,Jalisco B: Main Stage,FurMonic Orchestra,,,
saturday,02:45:00 PM,03:45:00 PM,Jalisco B: Main Stage,¡Pepper Coyote en vivo!,,,
saturday,04:00:00 PM,06:00:00 PM,Jalisco B: Main Stage,Floor Wars (Final),"Furry Trash, Confuror",,
saturday,06:30:00 PM,08:00:00 PM,Jalisco B: Main Stage,Eliminatoria pasarela,"La Manada Horny, Confuror",,Fiesta pagana
saturday,08:00:00 PM,09:00:00 PM,Jalisco B: Main Stage,Noche retro,DJ Mosca,,Fiesta pagana
saturday,09:00:00 PM,10:00:00 PM,Jalisco B: Main Stage,Pasarela,"La Manada Horny, Confuror",,Fiesta pagana
saturday,10:00:00 PM,11:00:00 PM,Jalisco B: Main Stage,Funkhaus Fever,"Knox, Khatru",,Fiesta pagana
saturday,11:00:00 PM,12:00:00 AM,Jalisco B: Main Stage,Bellakeo Fur Vol 3.0?!,Furry Trash,,Fiesta pagana
saturday,12:00:00 AM,01:00:00 AM,Jalisco B: Main Stage,DJ Charlie,DJ Charlie,,Fiesta pagana
saturday,10:00:00 AM,04:00:00 PM,Jalisco B: Artist Alley,Artist Alley,Confuror,,
saturday,05:15:00 PM,07:15:00 PM,Jalisco B: Artist Alley,¡Crea tú propia novela visual!,,,
saturday,07:45:00 PM,10:00:00 PM,Jalisco B: Artist Alley,Torneo LoreFurry,,,
saturday,10:00:00 AM,11:30:00 AM,Jalisco A: Foro I (Montaje Escuela),Anatomía comparada: ¿Qué hace diferente a un lobo de un mapache?,,,
saturday,11:45:00 AM,12:45:00 PM,Jalisco A: Foro I (Montaje Escuela),Cómo tener una relación poli y no morir en el intento,,,
saturday,01:00:00 PM,02:00:00 PM,Jalisco A: Foro I (Montaje Escuela),De cuento a leyenda: Mejora tú redacción,,,
saturday,02:15:00 PM,03:00:00 PM,Jalisco A: Foro I (Montaje Escuela),Yury y Raucous: Meet & Greet,"Yury, Raucous",,
saturday,08:00:00 PM,01:00:00 AM,Jalisco A: Foro I,Night Market,,,
saturday,10:00:00 AM,12:00:00 PM,Jalisco A: Foro I (Lounge general),Soft combat,,,
saturday,12:15:00 PM,01:15:00 PM,Jalisco A: Foro I (Lounge general),Garabatos para la caridad,,,
saturday,01:30:00 PM,03:00:00 PM,Jalisco A: Foro I (Lounge general),¡Coffee and draw!,,,
saturday,10:00:00 AM,11:30:00 AM,Jalisco B: Foro II,Cómo la música académica dejó de resonar en la cultura popular,,,
saturday,11:45:00 AM,12:45:00 PM,Jalisco B: Foro II,Cómo despertar a la princesa (Primeros auxilios básicos en la vida),,,
saturday,01:00:00 PM,02:30:00 PM,Jalisco B: Foro II,Furros sin bañar; ¿Porqué nos atraé el olor corporal?,,,
saturday,02:45:00 PM,04:15:00 PM,Jalisco B: Foro II,Hagamos un Collab,,,
saturday,04:30:00 PM,06:30:00 PM,Jalisco B: Foro II,Transfuror,,,
saturday,06:45:00 PM,08:15:00 PM,Jalisco B: Foro II,"Gestión desplaceres: Salud, Educación y Sexualidad",,,
saturday,08:30:00 PM,10:00:00 PM,Jalisco B: Foro II,Crayones nocturnos: Party Soft!,,,
saturday,10:00:00 AM,11:00:00 AM,Jalisco B: Foro III,Story Hour,,,
saturday,11:15:00 AM,12:45:00 PM,Jalisco B: Foro III,Perros que cambian vidas,,,
saturday,01:00:00 PM,02:30:00 PM,Jalisco B: Foro III,Convenciones furry en Chile: La historia detrás de SAFE y Pawstral,,,
saturday,02:45:00 PM,04:45:00 PM,Jalisco B: Foro III,Furros sin fronteras,,,
saturday,05:00:00 PM,06:30:00 PM,Jalisco B: Foro III,Colores polarizados,,,
saturday,06:45:00 PM,08:15:00 PM,Jalisco B: Foro III,MXN Makers vol. 2,,,
saturday,08:30:00 PM,10:00:00 PM,Jalisco B: Foro III,Yo sólo soy un furro ¿A mí que me importa la política?,,,
saturday,10:00:00 AM,12:00:00 PM,Jalisco B: Workshop Corner,Taller de actuación de voz y doblaje,,,
saturday,12:15:00 PM,02:15:00 PM,Jalisco B: Workshop Corner,Esto es Pro Tools,,,
saturday,02:30:00 PM,04:00:00 PM,Jalisco B: Workshop Corner,"Jazztubo (O Jazz en todos lados, al mismo tiempo)",,,
saturday,04:30:00 PM,06:30:00 PM,Jalisco B: Workshop Corner,"Caligrafitti, la magia de los trazos",,,
saturday,06:45:00 PM,07:45:00 PM,Jalisco B: Workshop Corner,Cómo crear un mundo literario,,,
saturday,08:00:00 PM,10:00:00 PM,Jalisco B: Workshop Corner,Dibuja rico: Anatomía furry con sabor ,,,
saturday,10:00:00 AM,11:30:00 AM,Jalisco B: Meeting room,Protomeet & Beep 2: Electronic Boogaloo,,,
saturday,11:45:00 AM,01:15:00 PM,Jalisco B: Meeting room,Cómo dejar de ser vergonzudo,,,
saturday,01:30:00 PM,03:00:00 PM,Jalisco B: Meeting room,¡Duros y rudos en el Ring 2ndo round!,,,
saturday,03:15:00 PM,04:45:00 PM,Jalisco B: Meeting room,Punchis-Punchis: Una exploración de la música electrónica,,,
saturday,05:00:00 PM,06:30:00 PM,Jalisco B: Meeting room,El club de las patas,,,
saturday,06:45:00 PM,08:15:00 PM,Jalisco B: Meeting room,Bienvenidos a la grieta del poliamor (Meet up),,,
saturday,08:30:00 PM,10:00:00 PM,Jalisco B: Meeting room,FatFur meeting,,,
sunday,08:00:00 AM,03:00:00 PM,Pasillo Jalisco A-B: Recepción,Registro,,,
sunday,11:15:00 AM,12:15:00 PM,Jalisco B: Main Stage,Tamandua mexicana criatura silenciosahabitante de diversos ecosistemas,Proyecto Tamandua (Organización de caridad),,
sunday,12:30:00 PM,02:00:00 PM,Jalisco B: Main Stage,Q&A: Artistas invitados,Confuror,,
sunday,02:15:00 PM,04:00:00 PM,Jalisco B: Main Stage,Concuros de baile (Final),"Astral, Confuror",,
sunday,04:30:00 PM,06:45:00 PM,Jalisco B: Main Stage,Subasta caridad,Confuror,,
sunday,07:00:00 PM,08:00:00 PM,Jalisco B: Main Stage,Clausura del evento,Confuror,,
sunday,10:00:00 AM,04:00:00 PM,Jalisco B: Artist Alley,Artist Alley,Confuror,,
sunday,10:00:00 AM,11:30:00 AM,Jalisco A: Foro I (Montaje Escuela),Retroalimentación Confuror,Confuror,,
sunday,11:45:00 AM,01:15:00 PM,Jalisco A: Foro I (Montaje Escuela),Baile: 101,,,
sunday,02:15:00 PM,03:45:00 PM,Jalisco A: Foro I (Montaje Escuela),Diseñando y mejorando a tú fursona,,,
sunday,10:00:00 AM,11:15:00 AM,Jalisco A: Foro I (Lounge general),Charadas en Fursuit,,,
sunday,11:30:00 AM,12:30:00 PM,Jalisco A: Foro I (Lounge general),Crea tú propia raza furra para D&D,,,
sunday,12:45:00 PM,01:45:00 PM,Jalisco A: Foro I (Lounge general),Que TTRPG puedo elegir sin morir en el intento?,,,
sunday,02:00:00 PM,04:00:00 PM,Jalisco A: Foro I (Lounge general),"Sticker Swap Furry: Comparte, Intercambia y Conecta",,,
sunday,10:00:00 AM,11:30:00 AM,Jalisco B: Foro II,"Recuerdios del ayer, animación y pasión",,,
