day,start_time,end_time,location,title,hosted_by,category,description,nsfw
saturday,08:30:00 PM,10:00:00 PM,Jalisco B: Foro III,Yo sólo soy un furro ¿A mí que me importa la política?,Sandy Cooper,Conferencia,"El panel pretende (desechando la política partidista) explorar las percepciones y actitudes que se tienen desde el fandom hacia la política, la politización (y despolitización) del arte, y las consecuencias de la política nacional e internacional en el fandom y en nuestras vidas.",1
saturday,10:00:00 AM,12:00:00 PM,Jalisco B: Workshop Corner,Taller de actuación de voz y doblaje,SkyroStar,Taller,¿Te gustaria empezar a dar los primeros pasos para hacer doblaje profesional? Pues este es el lugar para ti. En este taller de doblaje aprenderas desde lo mas basico del doblaje hasta consejos y tips de profesionales.,0
saturday,12:15:00 PM,02:15:00 PM,Jalisco B: Workshop Corner,Esto es Pro Tools,Naveed Ishtar,Taller,"Planeo enseñarle a los asistentes como plasmar una partitura en pro tools, usando plugins de instrumentos, enseñarles como empezar y dar algunos consejos en general",0
saturday,02:30:00 PM,04:00:00 PM,Jalisco B: Workshop Corner,"Jazztubo (O Jazz en todos lados, al mismo tiempo)",KentaMutt & AmyPuppy,Taller,"Analizaremos desde 0 un standard de jazz, demostraremos por qué este género es más sencillo de lo que crees y cómo la influencia del mismo afectó a la música y está en todos lados, al mismo tiempo. No necesitas conocimientos previos!",0
saturday,04:30:00 PM,06:30:00 PM,Jalisco B: Workshop Corner,"Caligrafitti, la magia de los trazos",Jedah Missile,Taller,"En este taller apenderás las bases del caligrafitti, movimientos del pincel y como generar figuras para crear ornamentos que adornarán tus ilustraciones. Llevate un glifo de caligrafitti hecho por ti!",0
saturday,06:45:00 PM,07:45:00 PM,Jalisco B: Workshop Corner,Cómo crear un mundo literario,Lobo Sapiens,Conferencia,"En este panel buscamos explicar como crear un mundo literario, los elementos que lo componen y los factores principales a considerar para crearlo, así como mostrar algunos ejemplos y la influencia que tienen sobre las historias.",0
saturday,08:00:00 PM,10:00:00 PM,Jalisco B: Workshop Corner,Dibuja rico: Anatomía furry con sabor ,Mika Academy,Taller,"Taller NSFW para aprender a dibujar cuerpos sabrosos, expresivos y bien armados. Domina poses, volumen y actitud con puro estilo. Dibujando sin pena y rico.",1
saturday,10:00:00 AM,11:30:00 AM,Jalisco B: Meeting room,Protomeet & Beep 2: Electronic Boogaloo,Tostadora Gang MX,Meet,"Este es un panel para que protogens y gente que les gustan los mismos puedan tener una convivencia y así mismo gente pueda conocer mas sobre ellos, su historia e incluso el como se hace uno, todos están bienvenidos",0
saturday,11:45:00 AM,01:15:00 PM,Jalisco B: Meeting room,Cómo dejar de ser vergonzudo,Drek,Taller,"Diseñado por y para furros con problemas para hablar con mas gente, este panel esta hecho para ayudarte a romper con silencios incomodos, mejorar tu fluidez al hablar. Y sobre todo ayudarte a conectar con mas personas y dejar a un lado la timidez ",0
saturday,01:30:00 PM,03:00:00 PM,Jalisco B: Meeting room,¡Duros y rudos en el Ring 2ndo round!,"Katsu ""Las Garras del Ring""",Taller,"En esta edicion buscamos no solo presentar informacion de como encontrar oponentes para disfrutar de este fetiche de manera segura. También queremos poder enseñar y practicar en grupo algunos de los movimientos basicos de sumo, lucha y boxeo para ayudar a furros primerizos.",1
saturday,03:15:00 PM,04:45:00 PM,Jalisco B: Meeting room,Punchis-Punchis: Una exploración de la música electrónica,Vulpeko,Conferencia,"Desde el House de Chicago y el Techno de Detroit, esta charla es un viaje a través de sus géneros principales, variedad de subgéneros y diversidad de estilos a través de su historia, lugares, DJs y productores que la llevaron a ser el fenómeno cultural que es hoy en día.",0
saturday,05:00:00 PM,06:30:00 PM,Jalisco B: Meeting room,El club de las patas,Rockey Pawsy,Meet,"(Actividad +18) Similar a la ""Noche de Patas"" o a la ""Fat Fur Meeting"", el nombrado ""Club de las Patas"" busca regresar y compartir un espacio para aquellos amantes de las patas o aquellos curiosos que quieran explorar este gusto del fandom en un ambiente seguro y divertido.",1
saturday,06:45:00 PM,08:15:00 PM,Jalisco B: Meeting room,Bienvenidos a la grieta del poliamor (Meet up),"Los Boyos (Alvaradog, Berngruff, Nawy)",Meet,"Te identificas como Poliamor o tienes curiosidad de lo que esto implica, lo bonito y lo complicado de tener una relación con mas de una persona. En este espacio tendremos actividades con el fin de conocer otras personas en el mismo barco, únete en compartir tus experiencias.",0
saturday,08:30:00 PM,10:00:00 PM,Jalisco B: Meeting room,FatFur meeting,Fat fur meeting,Meet,Es un espacio donde las personas puedes conocer a otros con intereses similares a los personajes gorditos. Se proponen dinámicas para iniciar la conversación como una pequeña encuesta y al final que la gente pueda interactuar entre ellos usando el semáforo de consentimiento. ,1
sunday,11:15:00 AM,12:15:00 PM,Jalisco B: Main Stage,Tamandua mexicana criatura silenciosahabitante de diversos ecosistemas,Proyecto Tamandua (Organización de caridad),Conferencia,"En esta plática conoceremos las generalidades del Tamandua mexicana: su hábitat, características y el papel fundamental que desempeña en los ecosistemas donde habita",0
sunday,12:30:00 PM,02:00:00 PM,Jalisco B: Main Stage,Q&A: Artistas invitados,Confuror,Conferencia,,0
sunday,02:15:00 PM,04:00:00 PM,Jalisco B: Main Stage,Concuros de baile (Final),"Astral, Confuror",Torneo,,0
sunday,04:30:00 PM,06:45:00 PM,Jalisco B: Main Stage,Subasta caridad,Confuror,Eventos principales,,0
sunday,07:00:00 PM,08:00:00 PM,Jalisco B: Main Stage,Clausura del evento,Confuror,Eventos principales,,0
sunday,10:00:00 AM,04:00:00 PM,Jalisco B: Artist Alley,Artist Alley,Confuror,Eventos principales,,0
sunday,10:00:00 AM,11:30:00 AM,Jalisco A: Foro I (Montaje Escuela),Retroalimentación Confuror,Confuror,,,0
sunday,11:45:00 AM,01:15:00 PM,Jalisco A: Foro I (Montaje Escuela),Baile: 101,Chris Reyri,Taller,"Quieres aprender a perder el miedo al escenario? Te gustaria aprender un poco de estilos urbanos para ver cual te gusta más? Que esperas para vivir tu primera clase de baile, donde veremos un poco de todo lo basico para aprender a perder el miedo al escenario y empezar a bailar",0
sunday,02:15:00 PM,03:45:00 PM,Jalisco A: Foro I (Montaje Escuela),Diseñando y mejorando a tú fursona,It Gets Better México / WizardBearG,Taller,"Taller Práctico donde les asistentes aplicarían la teoría de diseño de personajes como formas y colores para resolver, mejorar y aplicar al diseño a sus fursonas o si aun no tienen una tener una idea clara para tener un buen resultado.",0
sunday,10:00:00 AM,11:15:00 AM,Jalisco A: Foro I (Lounge general),Charadas en Fursuit,Paco Panda,Torneo,"Fursuiters jugado charadas, donde actuarán palabras y frases sin decir ninguna palabra. Aquí todos juegan. ¡Incluso la audiencia! ¿Tienes fursuit y quiere jugar? ¡Llega temprano e inscríbete!¡El cupo es limitado!",0
sunday,11:30:00 AM,12:30:00 PM,Jalisco A: Foro I (Lounge general),Crea tú propia raza furra para D&D,Sheru,Taller,En este taller se te proporcionará una breve descripción de los diferentes tipos de raza y se mostrarán lineamientos posibles para seguir en la creación de una raza jugarle para tu juego de Rol favorito.,0
sunday,12:45:00 PM,01:45:00 PM,Jalisco A: Foro I (Lounge general),Que TTRPG puedo elegir sin morir en el intento?,Sheru,Conferencia,"Ya sea que es tu primera vez jugando o quieres encontrar un sistema de juego nuevo para empezar a jugar, aquí te mostraré diversos sistemas de juego que puedan interesarte.",0
sunday,02:00:00 PM,04:00:00 PM,Jalisco A: Foro I (Lounge general),"Sticker Swap Furry: Comparte, Intercambia y Conecta","Sticker Swap Furry: Comparte, Intercambia y Conecta",Social,"Sticker Swap Furry: Comparte, Intercambia y Conecta es un espacio para mostrar, intercambiar o regalar stickers y pines. Trae tus colecciones, descubre nuevos artistas y llévate recuerdos únicos en un ambiente divertido y creativo",0
sunday,10:00:00 AM,11:30:00 AM,Jalisco B: Foro II,"Recuerdios del ayer, animación y pasión",Haru the Cat,Conferencia,"Presentacion de un nuevo proyecto de animacion elaborado por furrys con tematica psicologica y emocional , describiendo a detalle el proceso de realizacion y como se produce un elemento animado con estandares de la industria.",0
sunday,11:45:00 AM,01:15:00 PM,Jalisco B: Foro II,Los secretos del arte digital,WizardBear,Conferencia,¿Qué es lo que te falta para mejorar en el dibujo? ¿Cuáles son las técnicas secretas que los grandes maestros del dibujo emplean? ¿Cómo puedo lograr dibujar como mis artistas favoritos? ven a platicar de todos los secretos que nadie te cuenta acerca del dibujo y pintura digital.,0
sunday,01:30:00 PM,03:00:00 PM,Jalisco B: Foro II,Diseño y creación de videojuegos,SeiferWolfDragon,Conferencia,Charla de lo que se necesita saber al momento de inicar con un proyecto de creación de un videojuego. Más enfocado en principiantes y en la idea de lo que se necesita más que en la programación del propio videojuego.,0
sunday,03:15:00 PM,05:00:00 PM,Jalisco B: Foro II,Quieres dibujar musculos,Quieres Dibujar Musculos,Taller,Aprende a dibujar anatomía muscular en personajes Furro. Exploraremos las partes musculares más importantes para que puedas aplicar esos mismos principios en cualquier tipo de dibujo.,1
sunday,10:00:00 AM,11:30:00 AM,Jalisco B: Foro III,"Ohren ""Taro"" Tochtli",Creación e interpretación de personajes en la actuación de voz,Conferencia,"Me animo a realizar esta ""conferencia"" para compartir consejos y ayudas para la creación e interpretación de personajes para aquellos que deseen hacer voces para sus animaciones, para encontrar la ""voz"" para su fursona o incluso Incursionar en el mundo del doblaje.",0
sunday,11:45:00 AM,12:45:00 PM,Jalisco B: Foro III,Cómo crear tú propio sistema de magia,Letkuan Nexus,Taller,"En este panel buscamos explicar qué es un sistema de magia, los elementos que los componen, ventajas y desventajas de los distintos tipos, así como mostrar algunos ejemplos y su función dentro de la narrativa.",0
sunday,01:00:00 PM,02:00:00 PM,Jalisco B: Foro III,"Yokai Daruma, Aprendendiendo de la resilencia del daruma para hacer un proyecto realidad",LS Kuroyami,Conferencia,"Los Daruma un amuleto de resiliencia en Japón ayudan para cumplir tus metas. Usándolos como inspiración cree a los Yokai Daruma lo que me llevo a aprender de la resiliencia que se necesita para empezar un proyecto y en como levantarte aún cuando no resulta, para volver a empezar",0
sunday,02:15:00 PM,03:15:00 PM,Jalisco B: Foro III,Color y personalidad en el diseño de personajes,Cinna,Conferencia,"¿Porqué Algunos personajes destacan más que otros? En este panel platicaremos de cómo usar (y romper) la teoría del color para darle personalidad y vida a tus fursonas o personajes originales. Veremos trucos sencillos, ejemplos visuales y cómo dejar que tu instinto creativo hable más fuerte que las reglas.",0
sunday,03:30:00 PM,05:00:00 PM,Jalisco B: Foro III,Cómo realizar un documental furry,Hannah Millers,Conferencia,"¿Siempre se han preguntado que es lo que conlleva hacer un documental furry? Furry o no, el mundo del documental es un tema muy interesante mostrar una realidad del mundo. Hablare sobre mi experiencia, tips y respondere preguntas referente al tema.",0
sunday,10:00:00 AM,11:30:00 AM,Jalisco B: Workshop Corner,Peludo y estampado: Taller de playeras,Mika Academy,Taller,"Taller para furritos que quieren ver sus diseños en playeras. Aprende serigrafía y DTF para estampar sus diseños, con estilo y mucha sabrosura. Porque si vas a imprimir tus furros, que sea grande, vistoso y con toda la actitud.",0
sunday,11:45:00 AM,01:45:00 PM,Jalisco B: Workshop Corner,Ház tú primer peluche,el_shabo_,Taller,"En este taller aprenderas paso a paso desde lo mas basico de la costura hasta hacer un peluche sencillo ya sea tu solo o en parejas, te guiaremos y resolveremos todas tus dudas en el proceso, si te interesa el mundo de los peluches esta es tu oportunidad. (El kit para hacer el peluche tendra un costo de 100mxn).",0
sunday,02:00:00 PM,04:00:00 PM,Jalisco B: Workshop Corner,El círculo de fuego,sakary Yoliztli,Torneo,"Partida de rol rapida- Ha llegado el momento, has alcanzado la mayoria de edad, y puedes ir a Anderel. Pero antes debes probar qu estas listo para sobrevivir a los peligros que aguardan fuera de tu cálido y seguro hogar, para eso debes ir al circulo de fuego y probar tus habilidades.",0
sunday,04:15:00 PM,05:45:00 PM,Jalisco B: Workshop Corner,"La web indie: Un blog al puro estilo de MySpace, en 2025",Ekadex,Conferencia,"En este panel aprenderás qué recursos puedes usar para crear tu propia página web o blog personalizado como lo desees. Abordaremos temas como opciones de hosting, un poco de programación en HTML/ CSS y cómo puedes dar a conocer tu sitio, al igual que algunos otros consejos.",0
sunday,10:00:00 AM,11:30:00 AM,Jalisco B: Meeting room,K-Furs Meeting,Furs on Top,Meet,"Nuestro panel tiene como propósito reunir a más fans del K-POP dentro de la comunidad furry en un espacio seguro, donde podrán disfrutar de música, Random Dance, convivir con más K-Popers y pasar un rato agradable.",0
sunday,11:45:00 AM,01:15:00 PM,Jalisco B: Meeting room,Meet: Howl & Bone,Morte Redgrave,Meet,Una convivencia entre furries Skull de todo tipo para conocer a más de la misma especie con algunas actividades de por medio,0
sunday,01:30:00 PM,03:00:00 PM,Jalisco B: Meeting room,Furry TikTok Meetup,HMRtuti,Meet,"Espacio para que tanto creadores de contenido de video corto como fanáticos e interesados en comenzar puedan convivir entre si platicando, conociéndose, darse consejos así como para grabar contenido ahí mismo.",0
sunday,03:15:00 PM,04:45:00 PM,Jalisco B: Meeting room,VRChat con Chasito y amigos,Chasito,Meet,"Chasito Furry ⭐🐾 a los interesados que les guste jugar en línea con juegos de vrchat y tambien con las.gafas.de realidad.virtual, hacer un equipo y a los que no conocen que vivan la experiencia y conozcan más de.esta plataforma",0
