day,start_time,end_time,location,title,hosted_by,category,description,nsfw
friday,02:00:00 PM,02:45:00 PM,Jalisco B: Main Stage,Cheetah Paws,Cheetah Paws,Conferencia,Ven a disfrutar de una demostración de arte en vivo y conocer más a Cheetah paws. ,0
friday,03:15:00 PM,05:15:00 PM,Jalisco B: Main Stage,Show de talentos,"Wolfhug, Confuror",Entretenimiento,,0
friday,06:00:00 PM,07:00:00 PM,Jalisco B: Main Stage,621 Trukos,Jacob Kuznetsov,DJ Set,,1
friday,07:00:00 PM,08:00:00 PM,Jalisco B: Main Stage,Aizack: Fur The Night – Under the Neon Moon,Aizack,DJ Set,,0
friday,08:00:00 PM,09:00:00 PM,Jalisco B: Main Stage,UwUri x Metalpup (Siberian Scratch),"Uwuri, Metalpup",DJ Set,,1
friday,09:00:00 PM,10:00:00 PM,Jalisco B: Main Stage,Pawlymarchs: DJ Shusho B2B DJ Noise,"Shusho, Noise",DJ Set,,0
friday,10:00:00 AM,04:00:00 PM,Jalisco B: Artist Alley,Artist Alley,Confuror,Eventos principales,,0
friday,05:00:00 PM,07:45:00 PM,Jalisco B: Artist Alley,Torneo de Digimon Card Game 2025,Silver Dragon,Torneo,¡El 4to torneo anual de Digimon Card Game en Confuror esta aquí! Ven y participa con tu mejor mazo y juega por el tapete de campeón y sobres de la expansión más reciente. Los espectadores son bienvenidos. English friendly!,0
friday,08:00:00 PM,10:00:00 PM,Jalisco B: Artist Alley,Mercadito de artistas,Nainty,Meet,Igual que ediciones pasadas se llevará acabo un espacio donde artistas/asistentes podrán intercambiar merch creada por ellos y obras de su autoría de unos a otros,0
friday,12:15:00 PM,01:45:00 PM,Jalisco A: Foro I (Montaje Escuela),"Auxilio, estoy atrapado en el elevador",Nardo “El Zorro” Virlan,Conferencia,"En todas las convenciones usamos el transporte vertical (ascensores y escaleras electricas). Los usamos sin pensar mucho en cómo funcionan, menos en cómo nos cuidan. Las películas desinforman cómo una máquina sube, baja, y consume electricidad dentro del edificio.",0
friday,02:00:00 PM,04:00:00 PM,Jalisco A: Foro I (Montaje Escuela),Ghosting: ¿Qué hago si no me contesta?,Israel (Orga-zmo),Conferencia,Platiquemos (echemos chisme) sobre las veces que hemos ghosteado o nos los han hecho. ¿Qué podemos hacer con las emociones que quedan? ,1
friday,07:00:00 PM,09:00:00 PM,Jalisco A: Foro I,Howling Gala (Cena),Confuror,Ceremonia,,0
friday,12:45:00 PM,01:45:00 PM,Jalisco A: Foro I (Lounge general),FURRY SKETCH BATTLES,Deivid Utailus Bear,Social,"Aprenderemos como hacer bocetos rapidamente que a futuro podrán generar contenido en redes sociales y productos potenciales para distribuir, fusionando al final del panel, un momento de practica haremos sketches en una agradable competencia.",0
friday,02:00:00 PM,04:00:00 PM,Jalisco A: Foro I (Lounge general),¡Jugemos Furrylotería!,Rom Howler,Torneo,Varias rondas de juego de lotería con premios y sorpresas!,0
